sequence,label,adapted_token
(()(()())()()()()(((((,0,LM|len=22|sum=6|min=0|max=6
()()()(()()(,1,LM|len=12|sum=2|min=0|max=2
()(())(()((())())))((,0,LM|len=21|sum=1|min=-1|max=4
()()()()(())((()))(()()(,1,LM|len=24|sum=2|min=0|max=3
((()(()(()()()())()()))))()()),0,LM|len=30|sum=-2|min=-2|max=5
()(((()(())(,0,LM|len=12|sum=4|min=0|max=5
((()))((((()(),1,LM|len=14|sum=4|min=0|max=5
(()(())(())()))),0,LM|len=16|sum=-2|min=-2|max=3
()()(()()(,1,LM|len=10|sum=2|min=0|max=2
(())())((()))())()))((((()(,0,LM|len=27|sum=1|min=-4|max=2
((()(())))()((,1,LM|len=14|sum=2|min=0|max=4
))(()(())()(),0,LM|len=13|sum=-1|min=-2|max=1
))))))))((((()(((((())((,0,LM|len=24|sum=2|min=-8|max=2
((()))()((,1,LM|len=10|sum=2|min=0|max=3
(()(((((())(())(((,1,LM|len=18|sum=8|min=0|max=8
(())()()(())()(),1,LM|len=16|sum=0|min=0|max=2
(()((((())(((()()())())()))),1,LM|len=28|sum=2|min=0|max=8
((()()((())(())))((),1,LM|len=20|sum=2|min=0|max=5
)()))(())((())())((),0,LM|len=20|sum=-2|min=-3|max=0
)(((()()))(,0,LM|len=11|sum=1|min=-1|max=3
((())(())(())()((),1,LM|len=18|sum=2|min=0|max=3
()(()((())()()(),0,LM|len=16|sum=2|min=0|max=4
(()()()(()()((((((())(,0,LM|len=22|sum=8|min=0|max=9
)()()()))()()))()),0,LM|len=18|sum=-6|min=-6|max=0
(())())((()((())()(()))(((((,0,LM|len=28|sum=6|min=-1|max=6
()()(((((())()())(()))()())),1,LM|len=28|sum=0|min=0|max=6
))()(())(())()()((((,0,LM|len=20|sum=2|min=-2|max=2
()()()((())(())(())((((),1,LM|len=24|sum=4|min=0|max=5
()(()()()())((,1,LM|len=14|sum=2|min=0|max=2
((()((()))))((((,1,LM|len=16|sum=4|min=0|max=5
()((((())())(((()(,1,LM|len=18|sum=6|min=0|max=6
()()()()(()((()(((,1,LM|len=18|sum=6|min=0|max=6
()((())(()(()(()(((()((((),1,LM|len=26|sum=10|min=0|max=11
()((()))((((((())())(())())()),1,LM|len=30|sum=2|min=0|max=7
()()(()))(((((()(((()(())(,0,LM|len=26|sum=8|min=-1|max=9
()()()()((()))(),1,LM|len=16|sum=0|min=0|max=3
))(((())(()(((())))))()(()),0,LM|len=27|sum=-1|min=-2|max=5
()())(((((,0,LM|len=10|sum=4|min=-1|max=4
(())))())(((((,0,LM|len=14|sum=2|min=-3|max=2
((()(()))())(((),1,LM|len=16|sum=2|min=0|max=4
(())(())()()((,1,LM|len=14|sum=2|min=0|max=2
)((()))(()(()))(()))())))()((),0,LM|len=30|sum=-4|min=-5|max=2
()((()(((),1,LM|len=10|sum=4|min=0|max=5
()()()(())((,1,LM|len=12|sum=2|min=0|max=2
(((())((()()()(((()()))(()))((,0,LM|len=30|sum=6|min=0|max=8
()(()((()())()))((,1,LM|len=18|sum=2|min=0|max=4
(((())()(())()(((),1,LM|len=18|sum=4|min=0|max=5
(())()(()(,1,LM|len=10|sum=2|min=0|max=2
((((())))()())(((((()())()))((,1,LM|len=30|sum=4|min=0|max=6
())())())(()()(((()))()()()),0,LM|len=28|sum=-2|min=-3|max=2
(())()))((),0,LM|len=11|sum=-1|min=-2|max=2
()(()(())()((()((())(((((),1,LM|len=26|sum=8|min=0|max=9
))(()()))())())))(((,0,LM|len=20|sum=-4|min=-7|max=0
()((())())()((((,1,LM|len=16|sum=4|min=0|max=4
(())()(())()(((((),1,LM|len=18|sum=4|min=0|max=5
()(()((()((())())()()(,0,LM|len=22|sum=4|min=0|max=6
))()()))((())(((()),0,LM|len=19|sum=-1|min=-4|max=1
))))(())()((()))))())()))((((),0,LM|len=30|sum=-6|min=-9|max=0
()()()(()))((,0,LM|len=13|sum=1|min=-1|max=2
((())(()()()((((()((()(())(()(,1,LM|len=30|sum=10|min=0|max=10
)))))()(()(((((())((,0,LM|len=20|sum=2|min=-5|max=2
()()()()()((()))()()((,1,LM|len=22|sum=2|min=0|max=3
))(()())(())())((),0,LM|len=18|sum=-2|min=-3|max=0
)()())))()())()(((((())((()())(,0,LM|len=31|sum=1|min=-5|max=2
((((()()(),0,LM|len=10|sum=4|min=0|max=5
)())()))())),0,LM|len=12|sum=-6|min=-6|max=0
(()(((((()())()))(()()(),1,LM|len=24|sum=4|min=0|max=7
()((())(()))))(((,0,LM|len=17|sum=1|min=-2|max=3
(())(()()())(()(((()))((((((,1,LM|len=28|sum=8|min=0|max=8
()()))())()())())(((,0,LM|len=20|sum=-2|min=-5|max=1
()))((((((,0,LM|len=10|sum=4|min=-2|max=4
(()()(()()))()(())(())()()((((,1,LM|len=30|sum=4|min=0|max=4
)()((())())),0,LM|len=12|sum=-2|min=-2|max=2
)((()())()()(((()))(()((,0,LM|len=24|sum=4|min=-1|max=4
()()((()(),1,LM|len=10|sum=2|min=0|max=3
()((()))((()()((())())()(()))(,1,LM|len=30|sum=2|min=0|max=5
))(()))()(()(),0,LM|len=14|sum=-2|min=-3|max=0
()()((())())(()((())((,1,LM|len=22|sum=4|min=0|max=4
()()()()(),1,LM|len=10|sum=0|min=0|max=1
)())(()(((()))()))()())()())(),0,LM|len=30|sum=-4|min=-4|max=3
()()()(()(()))(),1,LM|len=16|sum=0|min=0|max=3
()(((()))),1,LM|len=10|sum=0|min=0|max=4
(()()))((((())))()()()())),0,LM|len=26|sum=-2|min=-2|max=4
)))(((()((())())))((),0,LM|len=21|sum=-1|min=-3|max=3
