sequence,label
"p17,p6,p19,p6,p16,p9,p6,p2,p14,p16",1
"p4,p16,p19,p11,p12,p6,p3,p16,p6,p1",1
"p6,p12,p16,p17,p14,p19,p10,p13,p9,p1",1
"p1,p2,p7,p19,p6,p17,p3,p20,p11,p1",1
"p12,p18,p2,p4,p16,p6,p1,p4,p17,p14",1
"p11,p6,p17,p16,p13,p19,p12,p20,p2,p17",1
"p14,p6,p3,p19,p4,p19,p17,p8,p10,p6",1
"p6,p16,p19,p9,p12,p17,p19,p2,p20,p6",1
"p16,p4,p13,p6,p8,p13,p2,p1,p4,p7",1
"p4,p20,p2,p6,p2,p16,p3,p8,p9,p1",1
"p6,p19,p16,p17,p7,p4,p18,p17,p17,p16",1
"p17,p6,p14,p16,p2,p19,p5,p11,p13,p1",1
"p16,p6,p4,p4,p4,p16,p9,p7,p14,p17",1
"p16,p3,p19,p6,p2,p11,p9,p1,p19,p6",1
"p6,p17,p18,p19,p16,p10,p18,p15,p11,p7",1
"p6,p13,p17,p6,p3,p19,p19,p14,p2,p1",1
"p12,p4,p16,p2,p7,p14,p12,p16,p6,p12",1
"p6,p19,p16,p10,p17,p8,p3,p11,p16,p15",1
"p4,p20,p16,p10,p10,p16,p4,p5,p19,p13",1
"p17,p16,p17,p14,p19,p6,p19,p18,p19,p3",1
"p3,p17,p6,p13,p2,p19,p12,p7,p6,p8",1
"p6,p16,p4,p13,p3,p19,p17,p5,p10,p13",1
"p17,p19,p19,p6,p2,p6,p2,p3,p18,p8",1
"p2,p2,p16,p4,p6,p17,p18,p10,p12,p14",1
"p6,p10,p4,p16,p12,p2,p7,p5,p18,p17",1
"p19,p16,p17,p6,p18,p16,p5,p8,p13,p6",1
"p16,p4,p14,p2,p6,p1,p3,p18,p6,p17",1
"p4,p11,p16,p17,p6,p4,p2,p3,p20,p16",1
"p15,p17,p6,p16,p17,p19,p11,p7,p12,p11",1
"p2,p6,p16,p4,p19,p13,p16,p16,p12,p5",1
"p4,p6,p2,p13,p15,p16,p6,p16,p15,p1",1
