sequence,label
"p9,p18,p15,p15,p9",1
"p9,p3,p15,p6,p14",1
"p2,p15,p9,p18,p1",1
"p28,p2,p6,p7,p6",1
"p6,p28,p2,p25,p6",1
"p2,p6,p3,p15,p19",1
"p6,p2,p6,p24,p23",1
"p9,p2,p15,p30,p25",1
"p15,p9,p18,p3,p21",1
"p2,p6,p6,p30,p10",1
"p2,p6,p6,p15,p9",1
"p10,p15,p9,p5,p25",1
"p2,p6,p28,p22,p8",1
"p9,p18,p15,p33,p7",1
"p15,p9,p11,p1,p21",1
"p2,p28,p6,p6,p6",1
"p9,p31,p15,p17,p28",1
"p15,p9,p24,p29,p29",1
"p2,p6,p6,p1,p5",1
"p9,p15,p18,p33,p16",1
"p2,p9,p15,p27,p13",1
"p6,p6,p2,p4,p7",1
"p18,p15,p9,p29,p9",1
"p15,p9,p7,p4,p1",1
"p28,p2,p6,p4,p11",1
"p2,p6,p6,p10,p13",1
"p15,p4,p9,p31,p33",1
"p15,p5,p9,p16,p26",1
"p9,p15,p2,p17,p14",1
"p6,p2,p6,p30,p21",1
"p15,p9,p33,p17,p9",1
"p2,p6,p6,p1,p20",1
"p15,p18,p9,p19,p14",1
"p6,p2,p6,p4,p6",1
"p18,p15,p9,p11,p29",1
"p15,p9,p2,p3,p24",1
"p15,p20,p9,p3,p23",1
"p15,p9,p10,p16,p11",1
"p6,p2,p18,p11,p7",1
"p15,p9,p18,p15,p15",1
"p18,p6,p2,p23,p33",1
"p2,p15,p9,p17,p3",1
"p28,p6,p2,p25,p13",1
"p9,p18,p15,p5,p22",1
"p6,p28,p2,p21,p26",1
"p18,p15,p9,p20,p26",1
"p18,p9,p15,p29,p29",1
"p9,p15,p18,p22,p6",1
"p18,p15,p9,p16,p31",1
"p15,p9,p2,p16,p10",1
"p24,p8,p12,p30,p3",0
"p11,p16,p3,p28,p13",0
"p32,p8,p3,p32,p2",0
"p3,p8,p19,p6,p14",0
"p29,p3,p8,p9,p27",0
"p20,p27,p7,p4,p8",0
"p16,p16,p16,p5,p7",0
"p8,p3,p33,p26,p24",0
"p8,p7,p9,p25,p26",0
"p16,p3,p25,p8,p23",0
"p16,p4,p3,p15,p25",0
"p8,p33,p2,p7,p32",0
"p16,p3,p11,p15,p14",0
"p25,p8,p26,p3,p21",0
"p12,p3,p16,p2,p13",0
"p8,p32,p26,p30,p7",0
"p13,p13,p3,p8,p11",0
"p5,p8,p22,p21,p3",0
"p3,p8,p22,p4,p20",0
"p28,p23,p33,p16,p7",0
"p11,p3,p16,p18,p5",0
"p24,p7,p6,p33,p16",0
"p30,p17,p3,p13,p16",0
"p14,p7,p17,p21,p16",0
"p8,p3,p14,p24,p18",0
"p21,p31,p30,p8,p3",0
"p8,p7,p30,p11,p30",0
"p24,p10,p7,p8,p19",0
"p3,p5,p8,p16,p2",0
"p13,p16,p22,p24,p3",0
"p3,p25,p12,p4,p8",0
"p32,p16,p7,p13,p19",0
"p15,p4,p4,p8,p3",0
"p8,p13,p8,p22,p3",0
"p33,p3,p20,p1,p8",0
"p29,p26,p11,p3,p16",0
"p16,p29,p3,p27,p11",0
"p3,p26,p8,p7,p14",0
"p17,p30,p16,p3,p13",0
"p21,p16,p4,p7,p22",0
"p3,p15,p31,p14,p16",0
"p2,p12,p7,p13,p16",0
"p8,p7,p22,p17,p29",0
"p22,p7,p18,p8,p2",0
"p20,p21,p16,p7,p4",0
"p11,p3,p2,p32,p16",0
"p27,p1,p8,p33,p7",0
"p8,p1,p3,p4,p19",0
"p16,p17,p30,p15,p3",0
"p7,p4,p29,p8,p28",0
